FOCUS Dimension,Transform Step,Source Column,Source Column Type,Transform Type,Filters/Process/Etc.
BilledCurrency,0,Not Defined,Not Defined,Not Defined,Not Defined
BillingAccountName,0,Not Defined,Not Defined,Not Defined,Not Defined
CommitmentDiscountName,0,Not Defined,Not Defined,Not Defined,Not Defined
PricingCategory,0,Not Defined,Not Defined,Not Defined,Not Defined
Publisher,0,Not Defined,Not Defined,Not Defined,Not Defined
ResourceName,0,Not Defined,Not Defined,Not Defined,Not Defined
SubAccountId,0,Not Defined,Not Defined,Not Defined,Not Defined
SubAccountName,0,Not Defined,Not Defined,Not Defined,Not Defined
AvailabilityZone,1,lineItem/AvailabilityZone,Not Defined,RENAME_COLUMN,
BilledCost,1,NA,Not Defined,SQL_CONDITION,"conditions:
- WHEN ""lineItem/NetUnblendedCost""  is not null THEN ""lineItem/NetUnblendedCost""
default_value: '""lineItem/UnblendedCost""'
"
BillingAccountId,1,bill/PayerAccountId,string,RENAME_COLUMN,
BillingCurrency,1,lineItem/CurrencyCode,Not Defined,RENAME_COLUMN,
BillingPeriodEnd,1,bill/BillingPeriodEndDate,datetime,ASSIGN_UTC_TIMEZONE,
BillingPeriodStart,1,bill/BillingPeriodStartDate,datetime,ASSIGN_UTC_TIMEZONE,
ChargeDescription,1,lineItem/LineItemDescription,Not Defined,RENAME_COLUMN,
ChargeFrequency,1,bill/BillType,Not Defined,MAP_VALUES,"default_value: ''
value_list:
- key: Refund
  value: One-Time
- key: Purchase
  value: One-Time
- key: Anniversary
  value: Recurring
"
ChargePeriodEnd,1,lineItem/UsageEndDate,datetime,ASSIGN_UTC_TIMEZONE,
ChargePeriodStart,1,lineItem/UsageStartDate,datetime,ASSIGN_UTC_TIMEZONE,
ChargeSubcategory,1,NA,Not Defined,SQL_CONDITION,"conditions:
- WHEN ChargeType = 'Usage' AND ""savingsPlan/SavingsPlanARN"" is not null OR ""reservation/ReservationARN""
  is not null THEN 'Used Commitment'
- WHEN ChargeType = 'Usage' THEN 'On-Demand'
- WHEN ChargeType = 'Adjustment' AND ""lineItem/LineItemType"" = 'BundledDiscount' THEN
  'Credit'
- WHEN ChargeType = 'Adjustment' AND ""lineItem/LineItemType"" = 'Credit' THEN 'Credit'
- WHEN ChargeType = 'Adjustment' AND ""lineItem/LineItemType"" = 'Discount' THEN 'Credit'
- WHEN ChargeType = 'Adjustment' AND ""lineItem/LineItemType"" = 'DiscountedUsage' THEN
  'Credit'
- WHEN ChargeType = 'Adjustment' AND ""lineItem/LineItemType"" = 'Refund' THEN 'Refund'
- WHEN ChargeType = 'Adjustment' THEN 'General Adjustment'
default_value: 'NULL'
"
