FOCUS Dimension,Transform Step,Source Column,Source Column Type,Transform Type,Filters/Process/Etc.
ServiceName,1,ConsumedService,Not Defined,RENAME_COLUMN,
ChargePeriodStart,1,BillingPeriodStartDate,Not Defined,PARSE_DATETIME,%m/%d/%Y
BillingPeriodStart,1,BillingPeriodStartDate,Not Defined,PARSE_DATETIME,%m/%d/%Y
BillingPeriodStart,2,BillingPeriodStart,Not Defined,ASSIGN_UTC_TIMEZONE,
BillingPeriodStart,3,BillingPeriodStart,Not Defined,RENAME_COLUMN,
ChargePeriodEnd,1,Date,Not Defined,PARSE_DATETIME,%m/%d/%Y
ChargePeriodEnd,2,ChargePeriodEnd,Not Defined,ASSIGN_UTC_TIMEZONE,
ChargePeriodEnd,3,ChargePeriodEnd,Not Defined,RENAME_COLUMN,
BillingPeriodEnd,1,BillingPeriodEndDate,Not Defined,PARSE_DATETIME,%m/%d/%Y
BillingPeriodEnd,2,BillingPeriodEnd,Not Defined,ASSIGN_UTC_TIMEZONE,
BillingPeriodEnd,3,BillingPeriodEnd,Not Defined,RENAME_COLUMN,
Region,1,ResourceLocation,Not Defined,RENAME_COLUMN,
SubAccountName,1,SubscriptionName,Not Defined,RENAME_COLUMN,
BillingCurrency,1,BillingCurrencyCode,Not Defined,RENAME_COLUMN,
SubAccountId,1,SubscriptionId,Not Defined,RENAME_COLUMN,
Provider,1,NA,Not Defined,ASSIGN_STATIC_VALUE,"static_value: Azure
"
ServiceCategory,1,ConsumedService,Not Defined,LOOKUP,"destination_value: ServiceCategory
reference_dataset_path: conversion_configs/azure/mapping_files/azure_category_mapping.csv
source_value: ConsumedService
"
BillingCurrency,2,BillingCurrencyCode,Not Defined,RENAME_COLUMN,
ResourceName,1,ResourceName,Not Defined,RENAME_COLUMN,
BillingAccountName,1,BillingAccountName,Not Defined,RENAME_COLUMN,
BillingAccountId,1,BillingAccountId,Not Defined,RENAME_COLUMN,
BilledCost,1,CostInBillingCurrency,Not Defined,RENAME_COLUMN,
Publisher,1,PublisherName,Not Defined,RENAME_COLUMN,
ChargePeriodStart,2,ChargePeriodStart,Not Defined,ASSIGN_UTC_TIMEZONE,
ChargePeriodStart,3,BillingPeriodStart,Not Defined,RENAME_COLUMN,
